Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS
youtube merchandise,3200,10443,0.3064,1.0,youtube merchandise,6
youtube merch,2233,10200,0.2189,1.2,youtube merchandise,6
google t shirt,1832,6384,0.2870,1.0,google shirt,7
youtube shop,1509,4196,0.3596,1.4,youtube shop,6
youtube store,1390,4360,0.3188,1.1,youtube store,6
google merchandise store,1048,26798,0.0391,1.0,google merchandise store,5
google backpack,966,7583,0.1274,1.3,google backpack,7
google shirt,866,3555,0.2436,1.0,google shirt,7
youtube t shirt,710,5034,0.1410,1.3,youtube shirt,6
google stickers,696,3315,0.2100,1.9,google stickers,7
google tshirt,591,1937,0.3051,1.0,google shirt,7
google apparel,568,1172,0.4846,1.0,google apparel,7
google hoodie,477,1501,0.3178,1.0,google hoodie,7
youtube shirt,451,3242,0.1391,1.1,youtube shirt,6
google merchandise,415,8690,0.0478,1.0,google merchandise,7
google t-shirt,412,1633,0.2523,1.0,google shirt,7
google shop,398,66140,0.0060,7.8,google shop,7
google water bottle,352,2173,0.1620,1.0,google water bottle,3
google shirts,320,1097,0.2917,1.0,google shirt,7
google sunglasses,318,2681,0.1186,1.9,google sunglasses,7
google clothing,305,792,0.3851,1.0,google clothing,7
youtube jacket,287,1342,0.2139,1.9,youtube jacket,6
google t shirts,259,796,0.3254,1.0,google shirt,7
merch youtube,259,2502,0.1035,2.4,merchandise youtube,6
google bag,258,1347,0.1915,1.0,google bag,7
google hat,258,2703,0.0954,1.1,google hat,7
google sticker,248,1359,0.1825,2.2,google sticker,7
youtube hoodie,209,1768,0.1182,3.6,youtube hoodie,6
google tシャツ,197,707,0.2786,1.1,google,7
google socks,193,1247,0.1548,1.5,google socks,7
google tshirts,175,553,0.3165,1.0,google shirt,7
youtube sweatshirt,152,1011,0.1503,2.9,youtube shirt,6
youtube shirts,142,1142,0.1243,1.1,youtube shirt,6
youtube t-shirt,140,975,0.1436,1.4,youtube shirt,6
shop youtube,139,423,0.3286,1.0,shop youtube,6
youtube accessories,138,793,0.1740,1.0,youtube accessories,6
youtube tshirt,135,1178,0.1146,1.6,youtube shirt,6
google store mountain view,131,1411,0.0928,2.4,google store mountain view,7
/google+redesign/shop+by+brand/youtube,130,232,0.5603,1.0,google redesign shop brand youtube,7
youtuber merch,128,18427,0.0069,9.1,youtube merchandise,6
google bottle,127,475,0.2674,1.0,google bottle,7
google t,123,452027,0.0003,4.9,google,7
google cap,121,1767,0.0685,1.2,google cap,7
google apparel store,117,207,0.5652,1.0,google apparel store,5
youtube google,115,34809,0.0033,9.8,youtube google,7
google mug,114,645,0.1767,1.0,google mug,7
youtube clothing,114,546,0.2088,1.0,youtube clothing,6
google unisex t-shirts,112,3994,0.0280,1.0,google unisex shirt,2
shop google,108,10880,0.0099,6.2,shop google,7
google store t shirt,105,136,0.7721,1.0,google store shirt,5
android merchandise,102,254,0.4016,1.0,android merchandise,5
google clothing store,98,184,0.5326,1.3,google clothing store,5
google bags,96,492,0.1951,1.0,google bags,7
google clothes,95,844,0.1126,1.0,google clothes,7
google merch,92,3201,0.0287,1.0,google merchandise,7
merchandise,92,62368,0.0015,11.0,merchandise,4
google electronics,90,1928,0.0467,2.5,google electronics,7
google sweatshirt,90,504,0.1786,1.3,google shirt,7
youtuber merchandise shops,89,1459,0.0610,4.6,youtube merchandise shop,5
google accessories,83,3615,0.0230,4.2,google accessories,7
google rucksack,83,230,0.3609,1.0,google rucksack,7
youtube apparel,83,292,0.2842,1.0,youtube apparel,6
t shirt google,82,536,0.1530,1.0,shirt google,7
google t-shirts,81,348,0.2328,1.0,google shirt,7
yt merch,81,488,0.1660,2.0,yt merchandise,4
google store clothes,80,118,0.6780,1.0,google store clothes,5
google store shirts,77,110,0.7000,1.0,google store shirt,5
android shop,73,3918,0.0186,5.3,android shop,5
android product store,72,427,0.1686,1.1,android product store,5
android toy,71,1712,0.0415,6.1,android toy,4
android t shirt,70,479,0.1461,2.2,android shirt,2
official youtube merchandise,70,238,0.2941,1.0,official youtube merchandise,6
google store,69,45062,0.0015,10.0,google store,7
google sweater,69,301,0.2292,1.0,google sweater,7
youtube cap,69,564,0.1223,2.5,youtube cap,6
google gift shop,67,658,0.1018,2.7,google gift shop,5
google pen,66,4217,0.0157,7.0,google pen,7
youtube hat,65,600,0.1083,3.5,youtube hat,6
7dog,64,2113,0.0303,29.0,dog,4
google men,62,900,0.0689,1.0,google men,7
merchandise store,61,2775,0.0220,1.7,merchandise store,5
youtube merchandise uk,61,340,0.1794,3.1,youtube merchandise uk,6
google cup,59,930,0.0634,1.4,google cup,7
google hats,59,714,0.0826,1.0,google hats,7
google t shirt india,58,489,0.1186,4.6,google shirt india,7
google store apparel,57,80,0.7125,1.0,google store apparel,5
apparel store,56,2905,0.0193,4.1,apparel store,5
google pullover,55,129,0.4264,1.0,google pullover,7
jutjub shop,55,807,0.0682,4.1,shop,4
google laptop stickers,53,135,0.3926,2.1,google laptop stickers,7
t-shirt google,53,250,0.2120,1.0,shirt google,7
flamingo merchandise youtube,52,130,0.4000,1.9,flamingo merchandise youtube,6
android merch,51,94,0.5426,1.0,android merchandise,5
google stickers for laptop,51,170,0.3000,2.0,google stickers laptop,7
waze,51,881915,<0.01%,9.8,waze,4
youtube clothes,51,458,0.1114,1.8,youtube clothes,6
free google stickers,50,200,0.2500,1.9,free google stickers,7
google hoodies,50,176,0.2841,1.4,google hoodies,7
youtube 3 lines tee grey,50,112,0.4464,1.1,youtube lines t-shirt grey,2
waze merch,49,202,0.2426,1.1,waze merchandise,4
waze sticker,49,132,0.3712,2.1,waze sticker,4
android stickers,48,1199,0.0400,6.0,android stickers,4
youtube merchandise store,48,157,0.3057,1.0,youtube merchandise store,5
youtube t shirts,48,428,0.1121,1.2,youtube shirt,6
google backpacks,47,300,0.1567,1.0,google backpacks,7
google pens,47,484,0.0971,1.1,google pens,7
yt shop,47,661,0.0711,3.9,yt shop,4
jutub shop,46,615,0.0748,3.4,shop,4
youtube,46,67026,0.0007,26.0,youtube,6
google metallic notebook set,45,68,0.6618,1.0,google metallic notebook set,7
google tee,45,358,0.1257,1.0,google t-shirt,7
merchandise youtube,45,320,0.1406,1.6,merchandise youtube,6
android shirt,44,313,0.1406,1.8,android shirt,2
google coffee mug,44,241,0.1826,1.0,google mug,7
google tee shirt,44,197,0.2234,1.0,google t-shirt shirt,2
you tube shop,44,150,0.2933,1.7,youtube shop,6
boutique youtube,43,277,0.1552,6.3,boutique youtube,6
timbuk2 flip pack google,43,106,0.4057,1.6,timbuktu flip pack google,7
google beanie,42,512,0.0820,1.4,google beanie,7
waze store,42,109,0.3853,1.0,waze store,4
google store tshirt,41,58,0.7069,1.0,google store shirt,5
you tube merch,41,188,0.2181,1.1,youtube merchandise,6
/google+redesign/apparel/mens,40,63,0.6349,1.0,google redesign apparel mens,7
google cloud merchandise,40,102,0.3922,1.7,google cloud merchandise,7
youtube merch store,40,284,0.1408,2.1,youtube merchandise store,5
google cloud t shirt,39,123,0.3171,1.4,google cloud shirt,7
yourube merch,39,141,0.2766,1.1,youtube merchandise,6
tensorflow t shirt,38,275,0.1382,4.5,tensor flow shirt,4
waze shop,38,147,0.2585,1.0,waze shop,4
youtube merch stores,38,156,0.2436,1.1,youtube merchandise store,5
youtube t shirt india,38,399,0.0952,3.2,youtube shirt india,2
youtuber merchandise,38,2302,0.0165,6.5,youtube merchandise,6
google large tote canvas,37,54,0.6852,1.0,google large tote canvas,3
google merchandise store mountain view,37,269,0.1375,3.2,google merchandise store mountain view,5
stickers google,37,200,0.1850,1.8,stickers google,7
google laptop bag,36,97,0.3711,1.0,google laptop bag,3
merchandising youtube,36,153,0.2353,3.9,merchandise youtube,6
youtube t-shirts,36,297,0.1212,1.2,youtube shirt,6
youtube varsity jacket,36,175,0.2057,4.4,youtube varsity jacket,2
apparel,35,59174,0.0006,13.0,apparel,4
google store t shirts,35,56,0.6250,1.0,google store shirt,5
firebase t shirt,34,134,0.2537,2.6,firebase shirt,4
google cloud shirt,34,110,0.3091,1.1,google cloud shirt,7
google logo t shirt,34,162,0.2099,1.1,google logo shirt,2
google merchandise store india,34,118,0.2881,2.1,google merchandise store india,5
google polo shirt,34,158,0.2152,1.1,google polo shirt,2
youtube tshirts,34,265,0.1283,1.5,youtube shirt,6
/google+redesign/nest/nest-usa,33,56,0.5893,1.0,google redesign nest nest usa,7
android figure,33,1236,0.0267,8.6,android figure,4
google apparel online,33,61,0.5410,1.1,google apparel online,7
googlemerchandisestore,33,1645,0.0201,1.0,google,7
googleplex store,33,555,0.0595,2.0,google store,7
find us on google sticker,32,123,0.2602,1.9,find us google sticker,7
google developer t shirt,32,316,0.1013,4.2,google developer shirt,7
google mouse pad,32,128,0.2500,1.1,google mouse pad,7
google shirt store,32,71,0.4507,1.0,google shirt store,5
google cloud tshirt,31,93,0.3333,1.1,google cloud shirt,7
google merchandise india,31,133,0.2331,2.4,google merchandise india,7
google t shirt free,31,545,0.0569,3.1,google shirt free,7
nest canada,31,4550,0.0068,7.1,nest canada,4
t shirt youtube,31,802,0.0387,3.2,shirt youtube,6
tee shirt google,31,128,0.2422,1.0,t-shirt shirt google,2
tshirt google,31,148,0.2095,1.0,shirt google,7
youtube merchandise india,31,87,0.3563,1.7,youtube merchandise india,6
youtube tv shirt,31,108,0.2870,1.0,youtube tv shirt,6
google polo,30,342,0.0877,1.3,google polo,7
youtube or's merch,30,132,0.2273,1.0,youtube merchandise,6
google printed t shirts,29,128,0.2266,1.3,google printed shirt,2
google store shirt,29,43,0.6744,1.0,google store shirt,5
how to get google stickers,29,197,0.1472,3.3,get google stickers,7
store youtube,29,332,0.0873,3.3,store youtube,6
android tshirt,28,181,0.1547,2.3,android shirt,2
google tote bag,28,208,0.1346,1.0,google tote bag,3
google cloud stickers,27,142,0.1901,4.4,google cloud stickers,7
google thermal bottle,27,72,0.3750,1.0,google thermal bottle,7
shop on google,27,2167,0.0125,6.8,shop google,7
sticker google,27,221,0.1222,2.2,sticker google,7
that youtube family merch,27,3192,0.0085,5.4,youtube family merchandise,5
youtube gaming merch,27,114,0.2368,3.5,youtube gaming merchandise,6
