Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS,SUB_CLUSTERS
google water bottle,352,2173,0.1620,1.0,google water bottle,3,0
google large tote canvas,37,54,0.6852,1.0,google large tote canvas,3,1
google laptop bag,36,97,0.3711,1.0,google laptop bag,3,1
google tote bag,28,208,0.1346,1.0,google tote bag,3,1
google flat front bag grey,19,48,0.3958,1.0,google flat front bag grey,3,1
google thermal bottle white,15,26,0.5769,1.0,google thermal bottle white,3,0
a+more bags,11,142,0.0775,2.9,bags,3,1
google water bottles,11,62,0.1774,1.0,google water bottles,3,0
google duffel bag,7,14,0.5000,1.0,google duffel bag,3,1
android stickers for laptop,6,78,0.0769,5.5,android stickers laptop,3,1
google goodie bag,6,41,0.1463,1.3,google goodie bag,3,1
bags,5,17573,0.0003,19.0,bags,3,1
bags store,5,840,0.0060,10.0,bags store,3,1
tote bag google,5,32,0.1562,1.1,tote bag google,3,1
google waterbottle,4,18,0.2222,1.1,google water bottle,3,0
thermal bottle,4,1678,0.0024,14.0,thermal bottle,3,0
more bags,3,188,0.0160,2.0,bags,3,1
water bottle google,3,22,0.1364,1.0,water bottle google,3,0
android sticker pack,2,59,0.0339,8.9,android sticker pack,3,1
android stuffed animal,2,44,0.0455,9.1,android stuffed animal,3,1
emoji sticker pack,2,1730,0.0012,13.0,emotion sticker pack,3,1
google glass bottle,2,25,0.0800,1.7,google glass bottle,3,0
google swag bag,2,52,0.0385,4.0,google swag bag,3,1
laptop stickers,2,330,0.0061,47.0,laptop stickers,3,1
sticker accessories,2,55,0.0364,4.1,sticker accessories,3,1
tumbler bottle,2,1652,0.0012,8.7,tumbler bottle,3,1
android bottle,1,10,0.1000,3.6,android bottle,3,1
bags rucksack,1,16,0.0625,47.0,bags rucksack,3,1
go bottle tumbler,1,31,0.0323,7.9,go bottle tumbler,3,0
google goody bag,1,2,0.5000,3.0,google goody bag,3,1
insulated bottle,1,9,0.1111,71.0,insulated bottle,3,0
merch bags,1,30,0.0333,7.2,merchandise bags,3,1
mesh book bags,1,108,0.0093,60.0,mesh book bags,3,1
navy glass bottles,1,6,0.1667,10.0,navy glass bottles,3,0
pack of stickers for laptop,1,1,1.0000,17.0,pack stickers laptop,3,1
roll top backpack,1,307,0.0033,36.0,roll top backpack,3,1
shop bags,1,49,0.0204,37.0,shop bags,3,1
shroud android zip-up hoodie,1,28,0.0357,8.9,shroud android zip hoodie,3,1
store bags,1,742,0.0013,9.4,store bags,3,1
stylus pen with led light,1,61,0.0164,7.7,stylus pen led light,3,1
stylus pens with light,1,13,0.0769,18.0,stylus pens light,3,1
thermal bottles,1,148,0.0068,17.0,thermal bottles,3,0
vinyl sticker set,1,2,0.5000,17.0,vinyl sticker set,3,1
water bottle merch,1,9,0.1111,3.7,water bottle merchandise,3,0
water bottle tumbler,1,104,0.0096,9.0,water bottle tumbler,3,0
water bottles merchandise,1,7,0.1429,3.1,water bottles merchandise,3,0
"""bags""",0,6,0.0000,29.0,bags,3,1
0 bags,0,8,0.0000,29.0,bags,3,1
100 cotton baby onesies,0,3,0.0000,89.0,cotton baby onesies,3,1
15 laptop sleeve,0,6,0.0000,94.0,laptop sleeve,3,1
15 laptop sleeves,0,1,0.0000,95.0,laptop sleeves,3,1
15.6 laptop sleeve,0,1,0.0000,150.0,laptop sleeve,3,1
"15"" laptop sleeve",0,1,0.0000,110.0,laptop sleeve,3,1
"15"" laptop sleeves",0,6,0.0000,91.0,laptop sleeves,3,1
16 ounce glass bottles,0,2,0.0000,52.0,ounce glass bottles,3,0
16 oz bottle,0,3,0.0000,94.0,oz bottle,3,0
16 oz bottles glass,0,1,0.0000,64.0,oz bottles glass,3,0
16 oz double wall acrylic tumbler with straw,0,1,0.0000,64.0,oz double wall acrylic tumbler straw,3,0
16 oz glass bottle,0,43,0.0000,27.0,oz glass bottle,3,0
16 oz glass bottles,0,7,0.0000,63.0,oz glass bottles,3,0
16 oz glass bottles with caps,0,5,0.0000,65.0,oz glass bottles caps,3,0
16 oz glass bottles with lids,0,2,0.0000,44.0,oz glass bottles lids,3,0
16 oz glass water bottle,0,1,0.0000,83.0,oz glass water bottle,3,0
16 oz reusable water bottle,0,1,0.0000,98.0,oz reusable water bottle,3,0
16 oz water bottle sleeve,0,2,0.0000,97.0,oz water bottle sleeve,3,0
16oz bottle,0,1,0.0000,63.0,oz bottle,3,0
16oz glass bottle,0,11,0.0000,30.0,oz glass bottle,3,0
17 oz bottle,0,6,0.0000,85.0,oz bottle,3,0
17 oz swell bottle,0,1,0.0000,100.0,oz swell bottle,3,0
19 laptop bag,0,7,0.0000,69.0,laptop bag,3,1
19 laptop sleeve,0,11,0.0000,52.0,laptop sleeve,3,1
23 bottles,0,1,0.0000,7.0,bottles,3,1
24 oz bottle,0,13,0.0000,77.0,oz bottle,3,0
24 oz bottles,0,2,0.0000,71.0,oz bottles,3,0
24 oz glass bottle,0,2,0.0000,73.0,oz glass bottle,3,0
24 oz glass tumbler,0,1,0.0000,92.0,oz glass tumbler,3,0
24 oz glass water bottle,0,8,0.0000,82.0,oz glass water bottle,3,0
24 water bottles,0,1,0.0000,96.0,water bottles,3,0
24oz bottle,0,1,0.0000,84.0,oz bottle,3,0
25 oz bottle,0,9,0.0000,59.0,oz bottle,3,0
25 oz glass bottles,0,3,0.0000,51.0,oz glass bottles,3,0
3rd gen nest learning thermostat - stainless steel,0,1,0.0000,33.0,rd gen nest learning thermostat stainless steel,3,0
4 color pen fine point,0,2,0.0000,86.0,color pen fine point,3,1
4 color pens,0,1,0.0000,90.0,color pens,3,1
99 bags,0,29,0.0000,7.9,bags,3,1
99 green bottles,0,2,0.0000,25.0,green bottles,3,0
accessories stickers,0,56,0.0000,5.3,accessories stickers,3,1
add backpack straps to bag,0,1,0.0000,51.0,add backpack straps bag,3,1
add ball pen,0,9,0.0000,51.0,add ball pen,3,1
add laptop sleeve to backpack,0,1,0.0000,29.0,add laptop sleeve backpack,3,1
add to bag,0,3,0.0000,55.0,add bag,3,1
add to cart popup,0,2,0.0000,89.0,add cart popup,3,1
adding backpack straps to a bag,0,4,0.0000,53.0,adding backpack straps bag,3,1
agua water bottle,0,2,0.0000,40.0,agua water bottle,3,0
air mesh backpack,0,7,0.0000,48.0,air mesh backpack,3,1
air mesh bag,0,1,0.0000,22.0,air mesh bag,3,1
all black swell bottle,0,1,0.0000,72.0,black swell bottle,3,0
all black water bottle,0,2,0.0000,60.0,black water bottle,3,0
alpine design bags,0,4,0.0000,71.0,alpine design bags,3,1
amazon novelty socks,0,1,0.0000,49.0,amazon novelty socks,3,1
an bags,0,6,0.0000,39.0,bags,3,1
android bag,0,1,0.0000,1.0,android bag,3,1
android eating apple shirt,0,1,0.0000,98.0,android eating apple shirt,3,1
android keyboard stickers,0,3,0.0000,72.0,android keyboard stickers,3,1
android laptop stickers,0,6,0.0000,2.3,android laptop stickers,3,1
android sticker sheet,0,10,0.0000,8.3,android sticker sheet,3,1
apparel bags and caps,0,1,0.0000,64.0,apparel bags caps,3,1
apple rubber,0,1,0.0000,4.0,apple rubber,3,1
arabic car decals,0,2,0.0000,99.0,arabic car decals,3,1
are chrome bags hipster,0,1,0.0000,64.0,chrome bags hipster,3,1
asi 51197 water bottle,0,57,0.0000,5.8,asi water bottle,3,0
asus laptop stickers,0,4,0.0000,93.0,asus laptop stickers,3,1
at bags,0,10,0.0000,72.0,bags,3,1
at bags price,0,1,0.0000,26.0,bags price,3,1
athletic tote bag,0,1,0.0000,91.0,athletic tote bag,3,1
automotive sticker pack,0,2,0.0000,64.0,automotive sticker pack,3,1
baby bib price,0,2,0.0000,83.0,baby bib price,3,1
baby bibs baby clothing,0,32,0.0000,95.0,baby bibs baby clothing,3,1
baby car decal,0,34,0.0000,35.0,baby car decal,3,1
baby car decals,0,2,0.0000,33.0,baby car decals,3,1
baby car sticker,0,6,0.0000,38.0,baby car sticker,3,1
baby car stickers,0,95,0.0000,45.0,baby car stickers,3,1
baby clothes,0,1,0.0000,170.0,baby clothes,3,1
baby clothes infant,0,2,0.0000,84.0,baby clothes infant,3,1
baby clothes like flowers,0,2,0.0000,95.0,baby clothes like flowers,3,0
baby clothes onesie,0,8,0.0000,61.0,baby clothes onesie,3,1
baby clothes onesies,0,5,0.0000,85.0,baby clothes onesies,3,1
baby clothes protector,0,3,0.0000,15.0,baby clothes protector,3,1
baby essentials set,0,1,0.0000,10.0,baby essentials set,3,1
baby gamer clothes,0,2,0.0000,88.0,baby gamer clothes,3,1
baby gear baby clothes,0,2,0.0000,79.0,baby gear baby clothes,3,1
baby gear bibs,0,21,0.0000,50.0,baby gear bibs,3,1
baby gear brand onesies,0,7,0.0000,33.0,baby gear brand onesies,3,1
baby gear clothes brand,0,3,0.0000,68.0,baby gear clothes brand,3,1
baby gowns for newborns,0,1,0.0000,85.0,baby gowns newborns,3,1
baby in board sticker,0,1,0.0000,50.0,baby board sticker,3,1
baby in car decal,0,4,0.0000,32.0,baby car decal,3,1
baby in car sticker,0,95,0.0000,59.0,baby car sticker,3,1
baby in the car sticker,0,3,0.0000,68.0,baby car sticker,3,1
baby on board car,0,1,0.0000,56.0,baby board car,3,1
baby on board car decal,0,27,0.0000,43.0,baby board car decal,3,1
baby on board car sign,0,49,0.0000,87.0,baby board car sign,3,1
baby on board car signs,0,1,0.0000,98.0,baby board car signs,3,1
baby on board car sticker,0,84,0.0000,47.0,baby board car sticker,3,1
baby on board car stickers,0,11,0.0000,40.0,baby board car stickers,3,1
baby on board car window signs,0,45,0.0000,95.0,baby board car window signs,3,1
baby on board decals,0,9,0.0000,43.0,baby board decals,3,1
baby on board decals for cars,0,5,0.0000,57.0,baby board decals cars,3,1
baby on board for car,0,11,0.0000,90.0,baby board car,3,1
baby on board logo,0,4,0.0000,46.0,baby board logo,3,1
baby on board sticker,0,352,0.0000,49.0,baby board sticker,3,1
baby on board sticker canada,0,5,0.0000,37.0,baby board sticker canada,3,1
baby on board sticker car,0,1,0.0000,50.0,baby board sticker car,3,1
baby on board sticker for car,0,34,0.0000,80.0,baby board sticker car,3,1
baby on board sticker free,0,1,0.0000,65.0,baby board sticker free,3,1
